,open,high,low,close,volume,datetime
2897,54465.97,54535.72,54000.0,54134.0,976.36,2024-09-07 17:00:00
2898,54134.0,54396.88,54037.0,54291.1,814.89,2024-09-07 18:00:00
2899,54291.1,54457.82,54231.1,54404.01,536.35,2024-09-07 19:00:00
2900,54404.01,54437.97,54166.0,54166.01,392.25,2024-09-07 20:00:00
2901,54166.01,54188.0,53867.0,53926.99,874.49,2024-09-07 21:00:00
2902,53927.0,54082.89,53868.0,53954.0,364.4,2024-09-07 22:00:00
2903,53954.0,54196.64,53814.01,54160.86,630.36,2024-09-07 23:00:00
2904,54160.86,54190.17,53964.0,54137.5,497.48,2024-09-08 00:00:00
2905,54137.5,54365.44,54136.0,54275.0,423.05,2024-09-08 01:00:00
2906,54274.99,54509.0,54274.99,54337.43,668.69,2024-09-08 02:00:00
2907,54337.44,54405.01,54266.88,54402.99,390.28,2024-09-08 03:00:00
2908,54402.98,54575.0,54371.1,54491.99,374.73,2024-09-08 04:00:00
2909,54492.0,54518.75,54327.52,54344.01,365.62,2024-09-08 05:00:00
2910,54344.01,54419.99,54261.1,54292.01,445.27,2024-09-08 06:00:00
2911,54292.01,54525.0,54292.0,54436.25,536.62,2024-09-08 07:00:00
2912,54436.25,54500.01,54356.0,54480.0,304.76,2024-09-08 08:00:00
2913,54480.0,54722.85,54456.01,54456.02,793.53,2024-09-08 09:00:00
2914,54456.02,54643.2,54440.0,54608.01,375.09,2024-09-08 10:00:00
2915,54608.01,54669.6,54517.39,54556.08,292.36,2024-09-08 11:00:00
2916,54556.08,54567.0,54095.52,54194.7,792.46,2024-09-08 12:00:00
2917,54194.71,54399.0,54072.01,54399.0,630.64,2024-09-08 13:00:00
2918,54398.99,54444.0,54041.61,54149.5,632.85,2024-09-08 14:00:00
2919,54149.51,54189.99,53640.0,53687.0,1444.46,2024-09-08 15:00:00
2920,53686.99,54024.56,53629.01,53907.18,781.01,2024-09-08 16:00:00
2921,53907.18,54519.3,53907.17,54510.01,810.9,2024-09-08 17:00:00
2922,54510.0,54531.1,54277.0,54412.01,433.05,2024-09-08 18:00:00
2923,54412.01,54475.0,54317.0,54337.01,264.25,2024-09-08 19:00:00
2924,54337.02,54384.0,54184.0,54379.02,364.27,2024-09-08 20:00:00
2925,54379.01,54619.84,54299.89,54464.0,663.07,2024-09-08 21:00:00
2926,54463.99,55318.0,54367.5,54530.0,2894.91,2024-09-08 22:00:00
2927,54530.0,54975.0,54424.75,54869.95,1094.8,2024-09-08 23:00:00
2928,54869.95,55210.0,54688.69,55045.0,1414.8,2024-09-09 00:00:00
2929,55045.01,55370.23,54901.1,55103.99,1831.56,2024-09-09 01:00:00
